WO_CHECKED_IN_DT_KEY,WO_ENTERED_DT_KEY,SCHEDULE_INSTALL_DT_KEY,CUSTOMER_KEY,SITE_ID,SITE_DESC,ACCOUNT_NBR,WO_NBR,PRODUCT_CD,PRODUCT_DESC,PRODUCT_LINE_DESC,PRODUCT_GROUP_CD,PRODUCT_GROUP_DESC,WO_TYPE_CD,WO_TYPE_DESC,OUTLET_TYPE,OFFICE_ONLY_FLAG,Q_CD,Q_CD_DESC,SALES_CHANNEL_GROUP_DESC,WO_OCCURRENCE_NBR,FROM_QTY,TO_QTY,NET_QTY,POINTS_COMPLETED,CONNECTS,DISCONNECTS,SELF_INSTALL,ASSISTED_SELF_INSTALLS,ASSIGNED_INSTALLER_NBR,SALESMAN_NBR,USER_ID,REQUIRED_POINTSTOCABLE_SVC,REQUIRED_TOTAL_POINTS,TOTAL_POINTS_COMPLETED,WO_JOB_NBR,SERVICE_TYPE,CATEGORY,SERVICE_CATEGORY_CD,CHECK_IN_USER_ID,SERVICE_POINTS,DROP_POINTS,HOUSE_PRE_WIRE_POINTS,DROP_REPLACE_POINTS,HOUSE_DWELLING_POINTS,SIGNAL_ACCESS_POINTS,TIME_ASSIGNED_HH_MM,TIME_SLOT_DESC,ARRIVAL_TIME,SYSTEM_COMPLETION_TM,Advanced Bulk HD Receiver,Aerial Install Drop New,Business TV Activate Outlet(wired),Business TV Bulk Specialty Install,Business TV Equipment Pick Up,Commercial Install Trap,Commercial Serviceability Visit,Commercial Shipping & Handling,Conduit Installation,Construction Costs,Direct Connect IR Cable,Prework,Prism IR Extender,RG11 Install Drop (All),Standard IR Extender,Video Bulk Specialty Staging,VoD Retransmission,Wall Fish,Bulk HD medical Remote Ctrl Integ,Business TV Contour Install No Net,Business TV Expedite Installation,Business TV Install/Add Outlet(Unwired),Business Vid Account Changes,CLI Leakage Order,COX BUSINESS BUNDLE,Digital Adapter Mounting Bracket,Digital Adapter RF Interface,INSTALL DROP (COMMERCIAL),Proactive Receiver Swap,Replacement Digital Adapter IR Rmt,Video Time & Materials - Standard,vuCaster Config Adv HD Receiver,Aerial Install Drop Rebuild,Bulk HD Medical PSI Config,Business TV Contour Install Net,Business TV Dig Self-Install Kit,Business TV Install Outlet(New),Business TV Receiver Install,Business TV Reinstate Service,Business Vid Install (Aerial),CB Showtime Additional Outlet,CB Starz Additional Outlet,Comm Outside only request,Commercial Tech Assist,Digital Starter,Fiber Conversion,Underground Install Drop New,Video Bulk Specialty Pre-Install,Advanced Bulk HD Install,Advanced Bulk HD Receiver Installation,Bulk HD Medical Interface,Business TV Equipment Self Activation,Business TV Rework/Relocate Install,CBS Service Deposit,Chargeable Service Call,CONTOUR Failed Self Install,DTA Failed Self Install,Interior Molding,Underground Install Drop Rebuild
20180625,20180622,20180625,107483474,333,Orange County,53709402,44500026,20501,Cox Business E-Mail 5 Mailboxes- 2GB ea,CBI Feature - Email,2110,Managed Services,IN,Install,P,N,W,Cb Installs,Unknown,2,0,1,1,0,1,0,0,0,37576,35448,CAROWHIT,3,51,51,1, ,X,D,ETSCSWAP,43,0,0,0,3,2,431,8-10A,807,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180626,20180627,107505709,333,Orange County,47078204,44517824,27000,Cox Business TV,Baseline Code,1104,Business TV - All,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,31072,22550,FRALEMAN,3,41,41,7, ,X,C,ETSCSWAP,33,0,0,0,3,2,631,8-10A,914,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180626,20180627,107508274,333,Orange County,60465201,44519499,42200,Cox Online Backup 10 GB,CBI Feature - Cox Online Backup,2110,Managed Services,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,72105,31016,FDELGADO,3,24,24,4, ,X,D,ETSCSWAP,16,0,0,0,3,2,624,1-3P,1255,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180524,20180614,107285925,1,Macon,88887201,10338179,BWIREPL,COX COMM SERVICE ASSURANCE PLAN,Service Fee - PLN,5116,Voice Service Fee,IN,Install,A,N,R,Cb Hicap,Cox Business,2,0,1,1,0,1,0,0,0,1089,23179,KABILL,3,19,19,8, ,X,T,COXTASUSER,16,0,0,0,0,0,1123,CMRCL,1502,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180524,20180614,107285925,1,Macon,88887201,10338179,HXPHINS,IPC Centrex Handset Test & Turn Up,Feature - IPC Broadsoft,5108,Business IP Centrex,IN,Install,P,N,R,Cb Hicap,Cox Business,1,0,5,5,1,1,0,0,0,1089,23179,KABILL,3,19,19,8,I,I,T,COXTASUSER,16,0,0,0,0,0,1123,CMRCL,1502,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180524,20180614,107285925,1,Macon,88887201,10338179,HBLKCC,VMBK Interstate Ntwrk Interface Fee,Service Fee - SIP Broadsoft,5116,Voice Service Fee,IN,Install,P,N,R,Cb Hicap,Cox Business,1,0,1,1,0,1,0,0,0,1089,23179,KABILL,3,19,19,8, ,O,T,COXTASUSER,16,0,0,0,0,0,1123,CMRCL,1502,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180607,20180606,20180607,107372929,1,Macon,88895501,10367818,HCOAX,IP PRI Delivered on Coax,Feature - PRI Broadsoft,5110,Business PRI Service,IN,Install,P,N,W,Cb Installs,Cox Business,2,0,1,1,0,1,0,0,0,59895,20788,KSIANEZ,3,17,17,10, ,X,T,COXTASUSER,9,0,0,0,3,2,1320,1-3P,1438,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180607,20180606,20180607,107372929,1,Macon,88895501,10367818,HINSTAL,VM Install,Installation - BVM Broadsoft,5115,Business VoiceManager Service,IN,Install,P,N,W,Cb Installs,Cox Business,2,0,1,1,9,1,0,0,0,59895,20788,KSIANEZ,3,17,17,10,I,I,T,COXTASUSER,9,0,0,0,3,2,1320,1-3P,1438,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180606,20180614,107374324,1,Macon,88901501,10368109,29805,CBI Gateway,CBI Equipment,2104,Cox Business Internet,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,57007,20787,ATURNER,3,33,33,10, ,X,D,ZLEVERET,25,0,0,0,3,2,841,10-12P,1000,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180412,20180614,106980799,333,Orange County,60203801,44123205,HVMREAD,Readable Voicemail,VoiceMail - Feature BVM,5114,Business VoiceMail Service,IN,Install,A,N,R,Cb Hicap,Cox Business,27,0,1,1,0,1,0,0,0,84246,2721,RSARMIEN,2,93,93,1, ,X,T,ETSCSWAP,86,0,0,0,3,2,1217,8-10A,821,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
