,Customer Facing Flag,DCV Ind,DTV Ind,Drive Time Points,Dwelling Type,Employee Type Code,HC Equipment Passed,HC Equipment,Job Type,Labor Type,Points,Q Code,Region,Service Call Ind,Site,Survey Response Value,Truck Roll Ind,Verified Vendor,Work Order Class,Work Order Type,New Time
223342,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,California,0,Orange County,,1,N,H,Install,189.0
223445,N,0,0,3,Non-Residential,5I,0,0,Install,In House,38,I,California,0,Orange County,,1,N,H,Install,391.0
223748,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,California,0,Orange County,,1,N,*,Install,1.0000000000000002
223753,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,California,0,Orange County,,1,N,H,Sro,14.0
223755,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,California,0,Orange County,,1,N,H,Install,161.0
223973,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,253.00000000000003
223980,Y,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,61,I,Southeast Region,0,Greater Louisiana,,1,Y,*,Sro,148.0
224047,N,0,0,3,Non-Residential,5I,0,0,Install,In House,33,I,Southeast Region,0,Greater Louisiana,,1,N,*,Upgrade,157.0
224048,Y,0,0,3,Non-Residential,H3,2,2,SRO,Contractor,80,I,Southeast Region,0,Greater Louisiana,,1,Y,*,Sro,237.0
224069,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,217.0
224078,N,0,0,3,Non-Residential,5I,1,1,Install,In House,60,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,390.0
224168,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,12.0
224227,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,91.0
224288,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,284.0
224305,N,0,0,3,Non-Residential,5I,3,3,Install,In House,60,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,348.0
224318,N,0,0,3,SFU,5I,0,0,SRO,In House,39,I,Southeast Region,0,Greater Louisiana,,1,N,*,Sro,241.0
224419,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,186.0
224420,N,0,0,3,Non-Residential,5I,0,0,Install,In House,66,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,301.0
224498,N,0,0,3,Non-Residential,5I,2,2,Install,In House,40,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,141.0
224510,Y,0,0,3,Non-Residential,5I,1,1,Install,In House,79,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,328.0
224521,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,382.0
224576,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,43,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,310.0
224648,Y,0,0,5,Non-Residential,H3,0,0,SRO,Contractor,199,I,Southeast Region,0,Greater Louisiana,,1,Y,*,Sro,286.0
224668,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,317.0
224685,N,0,0,3,Non-Residential,5I,0,0,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,239.0
224689,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,73,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,352.0
224729,Y,0,0,3,Non-Residential,5I,5,5,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,183.0
224800,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,17,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,41.0
224911,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,43,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,177.0
225053,N,0,0,3,Non-Residential,5I,1,1,Install,In House,66,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,375.0
225054,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,43,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,270.00000000000006
225060,N,0,0,3,Non-Residential,5I,6,6,Install,In House,84,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,220.0
225064,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,163,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,229.0
225169,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,375.0
225451,N,0,0,3,Non-Residential,5I,1,1,Install,In House,53,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,120.0
225452,N,0,0,3,Non-Residential,5I,0,0,Install,In House,45,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,235.0
225453,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,33,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,183.0
225472,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,356.0
225495,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,51.0
225499,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,323.0
225580,N,0,0,3,MDU,5I,3,3,Install,In House,55,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,344.0
225581,N,0,0,3,MDU,H3,0,0,SRO,Contractor,33,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,1.0000000000000002
225653,N,0,0,3,Non-Residential,5I,0,0,Install,In House,63,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,370.0
225714,Y,0,0,3,Non-Residential,5I,1,1,Install,In House,65,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,382.0
225719,N,0,0,3,Non-Residential,5I,1,1,Install,In House,59,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,294.0
225834,Y,0,0,3,Non-Residential,5I,0,0,Install,In House,66,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,267.00000000000006
225835,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,106.0
225849,N,0,0,3,Non-Residential,5I,2,3,Install,In House,72,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,272.00000000000006
225850,N,0,0,3,Non-Residential,5I,0,0,Install,In House,51,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,2.0000000000000004
225885,N,0,0,3,Non-Residential,5I,3,3,Install,In House,72,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,399.0
225887,N,0,0,3,Non-Residential,5I,0,0,Install,In House,21,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,158.0
226039,N,0,0,3,Non-Residential,5I,0,0,Install,In House,66,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,357.0
226040,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,43,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,334.0
226043,N,0,0,3,Non-Residential,5I,3,3,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,117.0
226044,N,0,0,3,Non-Residential,5I,3,3,Install,In House,54,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,180.0
226045,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,70.0
226079,N,0,0,3,Non-Residential,5I,0,0,Install,In House,67,I,Southeast Region,0,Greater Louisiana,,1,N,H,Upgrade,324.0
226109,Y,0,0,4,Non-Residential,5I,2,2,Install,In House,88,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,340.0
226172,N,0,0,3,Non-Residential,5I,0,0,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,124.00000000000001
226183,Y,0,0,3,Non-Residential,5I,5,5,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,320.0
226374,N,0,0,3,Non-Residential,5I,1,1,Install,In House,44,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,220.0
226456,N,0,0,3,Non-Residential,5I,0,0,Install,In House,33,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Upgrade,170.0
226523,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,388.0
226777,N,0,0,3,Non-Residential,5I,3,3,Install,In House,56,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,359.0
226779,N,0,0,3,Non-Residential,5I,3,3,Install,In House,78,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,288.0
226784,N,0,0,3,Non-Residential,5I,3,3,Install,In House,56,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,258.00000000000006
226789,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,317.0
226804,N,0,0,4,Non-Residential,5I,2,2,Install,In House,61,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,200.0
226971,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,363.0
227057,Y,0,0,3,Non-Residential,5I,2,2,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,325.0
227194,N,0,0,3,Non-Residential,5I,0,0,Install,In House,17,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Upgrade,73.0
227198,N,0,0,3,Non-Residential,5I,0,0,Install,In House,20,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Downgrade,39.0
227327,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Sro,42.0
227359,N,0,0,3,Non-Residential,5I,4,4,Install,In House,38,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,108.0
227371,Y,0,0,3,Non-Residential,5I,2,2,Install,In House,90,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,310.0
227475,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Sro,61.00000000000001
227521,N,0,0,3,Non-Residential,H5,0,0,SRO,In House,12,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Sro,55.0
227772,Y,0,0,3,Non-Residential,H5,2,2,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,269.00000000000006
227923,N,0,0,3,Non-Residential,5I,3,3,Install,In House,88,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,278.0
227924,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Central Region,0,Kansas/NW Arkansas,,1,Y,H,Sro,71.0
228066,N,0,0,3,Non-Residential,5I,3,3,Install,In House,41,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,375.0
228067,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,2.0000000000000004
228125,N,0,0,3,Non-Residential,5I,0,0,Install,In House,13,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,39.0
228284,N,0,0,3,Non-Residential,5I,0,0,Install,In House,13,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Downgrade,149.0
228314,N,0,0,3,Non-Residential,5I,3,3,Install,In House,56,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,110.0
228316,Y,0,0,3,Non-Residential,5I,3,3,Install,In House,85,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,334.0
228324,N,0,0,3,Non-Residential,5I,0,0,Install,In House,65,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,257.00000000000006
228412,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Central Region,1,Kansas/NW Arkansas,,1,N,H,Trouble Call,370.0
228862,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,California,0,San Diego,,1,N,H,Sro,86.0
228962,Y,0,0,3,Non-Residential,5I,0,0,Install,In House,52,I,California,0,San Diego,,1,N,*,Install,263.00000000000006
228968,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,93,I,California,0,San Diego,,1,Y,H,Sro,1.0000000000000002
228987,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,92.0
229026,N,0,0,3,Non-Residential,5I,0,0,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,159.0
229032,N,0,0,3,Non-Residential,5I,0,0,Install,In House,27,I,California,0,San Diego,,1,N,*,Downgrade,57.0
229039,N,0,0,3,Non-Residential,5I,1,1,Install,In House,90,I,California,0,San Diego,,1,N,*,Install,347.0
229072,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,62.00000000000001
229073,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,13,I,California,0,San Diego,,1,Y,H,Sro,1.0000000000000002
229075,N,0,0,3,MDU,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,79.0
229133,N,0,0,3,Non-Residential,5I,1,1,Install,In House,49,I,California,0,San Diego,,1,N,H,Install,255.00000000000003
229163,N,0,0,3,Non-Residential,5I,7,7,Install,In House,66,I,California,0,San Diego,,1,N,*,Install,279.0
229168,N,0,0,3,Non-Residential,5I,0,0,Install,In House,15,I,California,0,San Diego,,1,N,H,Downgrade,60.0
229176,N,0,0,3,Non-Residential,5I,0,0,Install,In House,51,I,California,0,San Diego,,1,N,H,Install,335.0
229327,N,0,0,3,Non-Residential,5I,2,2,Install,In House,78,I,California,0,San Diego,,1,N,*,Install,371.0
229426,N,0,0,3,Non-Residential,5I,2,2,Install,In House,77,I,California,0,San Diego,,1,N,*,Install,296.0
229457,N,0,0,3,Non-Residential,5I,0,0,Install,In House,46,I,California,0,San Diego,,1,N,H,Install,192.0
229491,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,99,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
229626,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,51,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
229630,N,0,0,3,Non-Residential,5I,2,2,Install,In House,44,I,California,0,San Diego,,1,N,H,Install,330.0
229654,N,0,0,3,Non-Residential,5I,0,1,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,113.0
229721,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,192.0
229739,N,0,0,3,Non-Residential,5I,3,3,Install,In House,78,I,California,0,San Diego,,1,N,*,Install,359.0
229743,N,0,0,3,Non-Residential,5I,0,0,Install,In House,23,I,California,0,San Diego,,1,N,H,Downgrade,69.0
229834,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,47,I,California,0,San Diego,,0,N,H,Sro,215.0
229919,Y,0,0,3,Non-Residential,5I,0,0,Install,In House,59,I,California,0,San Diego,,1,N,*,Install,266.00000000000006
229932,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,California,1,San Diego,,1,N,H,Trouble Call,374.0
230104,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
230301,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,113,I,California,0,San Diego,,1,Y,H,Sro,1.0000000000000002
230441,N,0,0,3,Non-Residential,5I,1,1,Install,In House,41,I,California,0,San Diego,,1,N,H,Install,314.0
230488,N,0,0,3,Non-Residential,5I,3,3,Install,In House,54,I,California,0,San Diego,,1,N,*,Install,12.0
230545,N,0,0,3,Non-Residential,5I,1,1,Install,In House,71,I,California,0,San Diego,,1,N,*,Install,330.0
230599,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,52,I,California,0,San Diego,,1,N,H,Sro,268.00000000000006
230769,N,0,0,3,Non-Residential,5I,1,1,Install,In House,54,I,California,0,San Diego,,1,N,*,Install,352.0
230772,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,53,I,California,0,San Diego,,1,Y,H,Sro,1.0000000000000002
230807,N,0,0,3,Non-Residential,5I,0,0,Install,In House,29,I,California,0,San Diego,,1,N,H,Upgrade,83.0
230873,N,0,0,3,Non-Residential,5I,0,0,Install,In House,72,I,California,0,San Diego,,1,N,H,Install,372.0
230874,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,354.0
230876,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,53,I,California,0,San Diego,,1,Y,H,Sro,1.0000000000000002
230893,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,134.00000000000003
230895,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,17,I,California,0,San Diego,,1,N,H,Sro,59.0
230928,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,California,1,San Diego,,1,N,H,Trouble Call,358.0
230952,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
231071,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,60.0
231107,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,142.0
231233,N,0,0,3,Non-Residential,5I,1,2,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,149.0
231286,N,0,0,3,MDU,5I,0,0,SRO,In House,39,I,California,0,San Diego,,0,N,H,Sro,236.0
231304,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,16,I,California,0,San Diego,,1,N,H,Sro,22.0
231307,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,13,I,California,0,San Diego,,1,N,H,Sro,99.0
231380,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,22.0
231381,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,59.0
231391,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,39,I,California,0,San Diego,,0,N,H,Sro,180.0
231491,Y,0,0,3,Non-Residential,5I,3,3,Install,In House,66,I,Central Region,0,Oklahoma City,,1,N,*,Install,187.0
231493,N,0,0,3,Non-Residential,5I,3,3,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,186.0
231505,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Oklahoma City,,1,N,H,Sro,52.0
231561,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,Central Region,0,Oklahoma City,,1,N,H,Sro,40.0
231567,N,0,0,3,Non-Residential,5I,1,1,Install,In House,66,I,Central Region,0,Oklahoma City,,1,N,*,Install,313.0
231584,N,0,0,3,Non-Residential,5I,3,3,Install,In House,66,I,Central Region,0,Oklahoma City,,1,N,*,Install,299.0
231609,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Central Region,1,Oklahoma City,,1,N,H,Trouble Call,345.0
231652,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,63,I,Central Region,0,Oklahoma City,,1,N,H,Sro,320.0
231777,Y,0,0,3,Non-Residential,5I,2,2,Trouble Call,In House,16,K,Central Region,1,Oklahoma City,,1,N,H,Trouble Call,361.0
231789,N,0,0,3,Non-Residential,5I,0,0,Install,In House,80,I,Central Region,0,Oklahoma City,,1,N,*,Install,373.0
231816,Y,0,0,3,Non-Residential,5I,3,3,Install,In House,49,I,Central Region,0,Oklahoma City,,1,N,*,Install,205.0
231817,N,0,0,3,Non-Residential,5I,3,3,Install,In House,42,I,Central Region,0,Oklahoma City,,1,N,*,Install,193.0
231841,N,0,0,3,Non-Residential,5I,0,0,Install,In House,83,I,Central Region,0,Oklahoma City,,1,N,*,Downgrade,346.0
231882,N,0,0,3,Non-Residential,5I,3,3,Install,In House,65,I,Central Region,0,Oklahoma City,,1,N,H,Install,260.00000000000006
231903,N,0,0,3,Non-Residential,5I,1,1,Install,In House,113,I,Central Region,0,Oklahoma City,,1,N,H,Install,135.00000000000003
231921,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,176.0
231957,N,0,0,3,Non-Residential,5I,3,3,Install,In House,63,I,Central Region,0,Oklahoma City,,1,N,H,Install,278.0
231958,Y,0,0,3,Non-Residential,5I,0,0,Install,In House,84,I,Central Region,0,Oklahoma City,,1,N,*,Install,354.0
231966,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Central Region,1,Oklahoma City,,1,N,H,Trouble Call,390.0
232015,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Central Region,0,Oklahoma City,,1,N,H,Sro,95.0
232017,N,0,0,3,Non-Residential,5I,1,1,Install,In House,48,I,Central Region,0,Oklahoma City,,1,N,*,Install,150.0
232139,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,7,I,Central Region,0,Oklahoma City,,1,N,H,Sro,2.0000000000000004
232206,N,0,0,3,Non-Residential,5I,2,2,Install,In House,43,I,Central Region,0,Oklahoma City,,1,N,H,Install,69.0
232337,Y,0,0,3,Non-Residential,5I,11,11,Trouble Call,In House,16,K,Central Region,1,Oklahoma City,,1,N,H,Trouble Call,376.0
232421,N,0,0,3,Non-Residential,5I,3,3,Install,In House,60,I,Central Region,0,Oklahoma City,,1,N,H,Install,317.0
232422,N,0,0,3,Non-Residential,5I,0,0,Install,In House,59,I,Central Region,0,Oklahoma City,,1,N,H,Install,168.0
232518,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,Central Region,0,Oklahoma City,,1,N,H,Sro,101.0
232553,N,0,0,3,Non-Residential,5I,1,1,Install,In House,43,I,Central Region,0,Oklahoma City,,1,N,H,Install,203.0
232586,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Oklahoma City,,1,N,H,Sro,50.0
232658,N,0,0,3,Non-Residential,5I,0,0,Install,In House,45,I,Central Region,0,Oklahoma City,,1,N,H,Install,262.00000000000006
232725,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Central Region,0,Oklahoma City,,1,N,H,Sro,120.0
232835,N,0,0,3,MDU,5I,0,0,Install,In House,25,I,Central Region,0,Oklahoma City,,1,N,H,Upgrade,147.0
232838,N,0,0,3,Non-Residential,5I,1,1,Install,In House,56,I,Central Region,0,Oklahoma City,,1,N,*,Install,157.0
232839,Y,0,0,3,Non-Residential,5I,1,1,Install,In House,72,I,Central Region,0,Oklahoma City,,1,N,*,Install,300.0
232857,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,35,I,Central Region,0,Oklahoma City,,1,N,H,Sro,173.0
232950,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,48.0
233003,N,0,0,3,Non-Residential,5I,1,1,Install,In House,51,I,Central Region,0,Oklahoma City,,1,N,H,Install,245.00000000000003
233021,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Oklahoma City,,1,N,H,Sro,83.0
233029,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,201.0
233033,N,0,0,3,Non-Residential,5I,1,1,Install,In House,66,I,Central Region,0,Oklahoma City,,1,N,*,Install,250.00000000000003
233114,N,0,0,3,Non-Residential,5I,2,2,Install,In House,68,I,Central Region,0,Oklahoma City,,1,N,H,Install,383.0
233118,N,0,0,3,Non-Residential,5I,3,3,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,178.0
233221,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,167.0
233222,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,20,I,Central Region,0,Oklahoma City,,1,N,H,Sro,41.0
233239,Y,0,0,3,Non-Residential,5I,0,0,Install,In House,72,I,Central Region,0,Oklahoma City,,1,N,*,Install,234.0
233347,N,0,0,3,Non-Residential,5I,2,2,Install,In House,43,I,Central Region,0,Oklahoma City,,1,N,H,Install,149.0
233407,N,0,0,3,Non-Residential,5I,0,0,Install,In House,51,I,Central Region,0,Oklahoma City,,1,N,H,Upgrade,177.0
233449,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,95.0
233452,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Oklahoma City,,1,N,H,Sro,2.0000000000000004
233479,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,132.00000000000003
233557,N,0,0,3,Non-Residential,5I,3,3,Install,In House,62,I,Central Region,0,Oklahoma City,,1,N,H,Install,345.0
233567,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,16,I,Central Region,0,Oklahoma City,,1,N,H,Sro,5.0
233574,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,16,I,Central Region,0,Oklahoma City,,1,N,H,Sro,54.0
233631,N,0,0,3,Non-Residential,5I,2,2,Install,In House,78,I,Central Region,0,Oklahoma City,,1,N,H,Install,353.0
233661,N,0,0,3,Non-Residential,5I,0,0,Install,In House,85,I,Central Region,0,Oklahoma City,,1,N,H,Install,363.0
233727,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,66,I,Central Region,0,Oklahoma City,,1,N,H,Sro,304.0
233742,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,Central Region,0,Oklahoma City,,1,N,H,Sro,54.0
233745,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Central Region,1,Oklahoma City,,1,N,H,Trouble Call,373.0
233805,N,0,0,3,Non-Residential,5I,4,4,Install,In House,63,I,Central Region,0,Oklahoma City,,1,N,H,Install,248.00000000000003
233815,N,0,0,3,Non-Residential,5I,0,0,Install,In House,23,I,Central Region,0,Oklahoma City,,1,N,H,Upgrade,81.0
233856,N,0,0,3,Non-Residential,5I,1,1,Install,In House,88,I,Central Region,0,Oklahoma City,,1,N,H,Install,363.0
233864,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Central Region,0,Oklahoma City,,1,N,H,Install,97.0
233921,N,0,0,3,Non-Residential,5I,1,1,Install,In House,41,I,Central Region,0,Oklahoma City,,1,N,H,Install,91.0
233943,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,16,I,Central Region,0,Oklahoma City,,0,N,H,Sro,60.0
233945,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Oklahoma City,,1,N,H,Sro,74.0
233986,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Southwest Region,0,Phoenix,,1,N,H,Sro,78.0
234003,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Southwest Region,1,Phoenix,,1,N,H,Trouble Call,93.0
